subject,message,label
Application confirmation from FutureSolutions,"Dear Alex,

Thank you for considering a career at FutureSolutions for the Backend Developer role. We’ll be reviewing your application and will update you on the next steps soon.

Regards,
FutureSolutions Hiring Team",0
Application confirmation from BrightMind,"Dear Casey,

Thank you for considering a career at BrightMind for the Product Manager role. We’ll be reviewing your application and will update you on the next steps soon.

Regards,
BrightMind Hiring Team",0
Your application is under review at InnovateX,"Hi Avery,

Your application for the Product Manager role at InnovateX has been received! Our hiring team is reviewing your submission and will reach out if there’s a fit.

Thank you,
InnovateX Careers",0
Your application has been received at FutureSolutions,"Dear Robin,

Thank you for applying to the Backend Developer position at FutureSolutions. We have received your application and our team is currently reviewing it. We will be in touch soon.

Best regards,
FutureSolutions Recruitment Team",0
Your application is under review at TechCorp,"Hi Casey,

Your application for the Software Engineer role at TechCorp has been received! Our hiring team is reviewing your submission and will reach out if there’s a fit.

Thank you,
TechCorp Careers",0
We appreciate your interest in joining TechCorp,"Dear Avery,

Thank you for considering a career at TechCorp for the Product Manager role. We’ll be reviewing your application and will update you on the next steps soon.

Regards,
TechCorp Hiring Team",0
Application confirmation from NextGen Systems,"Hello Robin,

We wanted to confirm that we’ve received your application for Data Scientist at NextGen Systems. Our team will get back to you as soon as possible.

Sincerely,
NextGen Systems Talent Acquisition",0
Your application is under review at Skyline Ltd,"Dear Skyler,

Thank you for considering a career at Skyline Ltd for the Product Manager role. We’ll be reviewing your application and will update you on the next steps soon.

Regards,
Skyline Ltd Hiring Team",0
Thank you for applying to NextGen Systems,"Dear Jordan,

Thank you for applying to the UX Designer position at NextGen Systems. We have received your application and our team is currently reviewing it. We will be in touch soon.

Best regards,
NextGen Systems Recruitment Team",0
Thank you for applying to InnovateX,"Dear Jamie,

Thank you for considering a career at InnovateX for the Product Manager role. We’ll be reviewing your application and will update you on the next steps soon.

Regards,
InnovateX Hiring Team",0
Thank you for applying to InnovateX,"Hi Robin,

Your application for the Data Scientist role at InnovateX has been received! Our hiring team is reviewing your submission and will reach out if there’s a fit.

Thank you,
InnovateX Careers",0
Your application has been received at TechCorp,"Dear Jordan,

Thank you for considering a career at TechCorp for the Product Manager role. We’ll be reviewing your application and will update you on the next steps soon.

Regards,
TechCorp Hiring Team",0
Your application is under review at FutureSolutions,"Dear Jordan,

Thank you for considering a career at FutureSolutions for the Backend Developer role. We’ll be reviewing your application and will update you on the next steps soon.

Regards,
FutureSolutions Hiring Team",0
We appreciate your interest in joining FutureSolutions,"Dear Avery,

Thank you for applying to the Backend Developer position at FutureSolutions. We have received your application and our team is currently reviewing it. We will be in touch soon.

Best regards,
FutureSolutions Recruitment Team",0
Your application has been received at TechCorp,"Hello Skyler,

We wanted to confirm that we’ve received your application for Backend Developer at TechCorp. Our team will get back to you as soon as possible.

Sincerely,
TechCorp Talent Acquisition",0
Application confirmation from InnovateX,"Hello Robin,

We wanted to confirm that we’ve received your application for Product Manager at InnovateX. Our team will get back to you as soon as possible.

Sincerely,
InnovateX Talent Acquisition",0
Your application has been received at TechCorp,"Hi Taylor,

Your application for the Backend Developer role at TechCorp has been received! Our hiring team is reviewing your submission and will reach out if there’s a fit.

Thank you,
TechCorp Careers",0
We appreciate your interest in joining TechCorp,"Dear Jordan,

Thank you for considering a career at TechCorp for the Data Scientist role. We’ll be reviewing your application and will update you on the next steps soon.

Regards,
TechCorp Hiring Team",0
Your application has been received at NextGen Systems,"Dear Jordan,

Thank you for applying to the Backend Developer position at NextGen Systems. We have received your application and our team is currently reviewing it. We will be in touch soon.

Best regards,
NextGen Systems Recruitment Team",0
Application confirmation from InnovateX,"Hello Avery,

We wanted to confirm that we’ve received your application for Data Scientist at InnovateX. Our team will get back to you as soon as possible.

Sincerely,
InnovateX Talent Acquisition",0
